id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-10-14 15:07:51,"{""short_code"":""d5DnL5"",""original_url"":""https://hackstack.io/jade/uplink/1""}"
2,2,77,created,2025-05-17 10:37:38,"{""short_code"":""KZ6mAC"",""original_url"":""https://relay.cloud/clear/lagoon/2""}"
3,3,195,created,2025-10-15 19:21:05,"{""short_code"":""Bfczqz"",""original_url"":""https://seeded.app/silver/kernel/3""}"
4,4,126,created,2025-07-21 01:13:33,"{""short_code"":""rUPJNa"",""original_url"":""https://seeded.app/vivid/yard/4""}"
5,5,178,created,2025-06-24 07:01:16,"{""short_code"":""l8iJgZ"",""original_url"":""https://opswise.net/vivid/uplink/5""}"
6,6,36,created,2025-02-17 06:00:47,"{""short_code"":""EY1ITt"",""original_url"":""https://example.com/forest/lagoon/6""}"
7,7,400,created,2026-01-18 10:03:35,"{""short_code"":""aFpIBp"",""original_url"":""https://example.com/cobalt/anchor/7""}"
8,8,225,created,2025-01-22 20:35:21,"{""short_code"":""P5kjDW"",""original_url"":""https://opswise.net/proud/river/8""}"
9,9,106,created,2025-11-29 22:55:53,"{""short_code"":""ocpco9"",""original_url"":""https://example.com/calm/valley/9""}"
10,10,149,created,2026-02-15 03:38:35,"{""short_code"":""FmYxmG"",""original_url"":""https://acme.dev/silver/kernel/10""}"
11,11,359,created,2025-12-20 05:39:31,"{""short_code"":""5j7ArH"",""original_url"":""https://acme.dev/ivory/journey/11""}"
12,12,184,created,2025-03-16 12:51:19,"{""short_code"":""alo9NF"",""original_url"":""https://acme.dev/calm/anchor/12""}"
13,13,258,created,2025-05-27 23:11:16,"{""short_code"":""bKOImg"",""original_url"":""https://acme.dev/urban/valley/13""}"
14,14,174,created,2025-05-24 21:22:15,"{""short_code"":""uOBpss"",""original_url"":""https://seeded.app/warm/network/14""}"
15,15,120,created,2025-10-21 05:08:36,"{""short_code"":""0ykTl2"",""original_url"":""https://relay.cloud/tidy/quartz/15""}"
16,16,6,created,2025-02-27 10:40:38,"{""short_code"":""ajgoO3"",""original_url"":""https://hackstack.io/navy/meadow/16""}"
17,17,386,created,2025-08-25 01:33:45,"{""short_code"":""03XJ9c"",""original_url"":""https://relay.cloud/brisk/meadow/17""}"
18,18,1,created,2025-05-13 18:50:58,"{""short_code"":""r11kuz"",""original_url"":""https://example.com/young/lagoon/18""}"
19,19,281,created,2026-02-19 10:45:33,"{""short_code"":""QhHIe7"",""original_url"":""https://opswise.net/ember/orbit/19""}"
20,20,124,created,2025-04-18 05:32:26,"{""short_code"":""bh6jDB"",""original_url"":""https://relay.cloud/ivory/delta/20""}"
21,21,321,created,2026-01-28 10:27:02,"{""short_code"":""yIpo5P"",""original_url"":""https://relay.cloud/brisk/lagoon/21""}"
22,22,178,created,2025-06-22 00:28:11,"{""short_code"":""3ARbSV"",""original_url"":""https://relay.cloud/quiet/meadow/22""}"
23,23,302,created,2025-03-09 04:39:40,"{""short_code"":""szA7bv"",""original_url"":""https://seeded.app/calm/network/23""}"
24,24,265,created,2025-05-11 08:14:19,"{""short_code"":""zi7wFc"",""original_url"":""https://seeded.app/gold/garden/24""}"
25,25,190,created,2025-01-11 15:23:18,"{""short_code"":""uR8KAl"",""original_url"":""https://seeded.app/opal/garden/25""}"
26,26,261,created,2025-12-24 03:23:09,"{""short_code"":""su54BH"",""original_url"":""https://example.com/forest/valley/26""}"
27,27,174,created,2025-04-23 20:05:47,"{""short_code"":""cbXuej"",""original_url"":""https://opswise.net/harbor/island/27""}"
28,28,395,created,2025-02-11 09:56:38,"{""short_code"":""momeiR"",""original_url"":""https://relay.cloud/ember/engine/28""}"
29,29,347,created,2025-03-11 23:19:43,"{""short_code"":""3SaJ29"",""original_url"":""https://relay.cloud/rapid/delta/29""}"
30,30,161,created,2025-07-12 05:02:42,"{""short_code"":""IHAoMp"",""original_url"":""https://relay.cloud/rapid/canyon/30""}"
31,31,398,created,2025-06-22 03:51:31,"{""short_code"":""1Le76A"",""original_url"":""https://relay.cloud/vivid/beacon/31""}"
32,32,234,created,2025-05-02 09:42:26,"{""short_code"":""WqLV39"",""original_url"":""https://opswise.net/tidy/orbit/32""}"
33,33,95,created,2026-02-13 17:37:39,"{""short_code"":""1Su5BP"",""original_url"":""https://seeded.app/warm/river/33""}"
34,34,43,created,2025-02-28 04:39:01,"{""short_code"":""RdIehX"",""original_url"":""https://opswise.net/proud/anchor/34""}"
35,35,283,created,2025-04-20 08:17:39,"{""short_code"":""Apg56E"",""original_url"":""https://relay.cloud/gold/network/35""}"
36,36,98,created,2025-08-22 17:19:15,"{""short_code"":""Vhlv4F"",""original_url"":""https://opswise.net/young/orbit/36""}"
37,37,99,created,2025-07-04 21:50:20,"{""short_code"":""pdzXH5"",""original_url"":""https://relay.cloud/quiet/orbit/37""}"
38,38,271,created,2025-03-04 11:17:15,"{""short_code"":""ZQQQcF"",""original_url"":""https://seeded.app/keen/trail/38""}"
39,39,201,created,2025-11-29 01:28:03,"{""short_code"":""B7vKny"",""original_url"":""https://seeded.app/brisk/uplink/39""}"
40,40,199,created,2025-03-23 00:41:07,"{""short_code"":""Kfl0aG"",""original_url"":""https://hackstack.io/forest/delta/40""}"
41,41,8,created,2025-09-20 11:42:16,"{""short_code"":""wuPT8l"",""original_url"":""https://relay.cloud/rapid/beacon/41""}"
42,42,390,created,2025-05-17 10:43:50,"{""short_code"":""I6RcF7"",""original_url"":""https://hackstack.io/brisk/pioneer/42""}"
43,43,4,created,2025-01-07 22:59:04,"{""short_code"":""MEQRj3"",""original_url"":""https://acme.dev/quiet/signal/43""}"
44,44,166,created,2025-06-06 19:50:39,"{""short_code"":""v7mpFS"",""original_url"":""https://relay.cloud/lively/pioneer/44""}"
45,45,229,created,2025-03-26 13:49:08,"{""short_code"":""6u2viQ"",""original_url"":""https://acme.dev/rapid/delta/45""}"
46,46,190,created,2025-03-31 01:51:43,"{""short_code"":""wyNYjh"",""original_url"":""https://acme.dev/young/window/46""}"
47,47,272,created,2025-04-30 09:17:13,"{""short_code"":""YDpC7q"",""original_url"":""https://acme.dev/gold/pioneer/47""}"
48,48,182,created,2025-02-08 12:31:11,"{""short_code"":""qSli9d"",""original_url"":""https://relay.cloud/opal/canyon/48""}"
49,49,72,created,2025-01-31 00:30:37,"{""short_code"":""MNT1tb"",""original_url"":""https://seeded.app/vivid/trail/49""}"
